source,target,proximity
14506,14469,5
14507,14469,4
14510,14469,3
14512,14469,37
14513,14469,9
14514,14469,1
14516,14469,1
14517,14469,1
14519,14469,4
14522,14469,4
14526,14469,2
14527,14469,8
14532,14469,3
14534,14469,15
14537,14469,1
14543,14469,4
14544,14469,11
14546,14469,1
14548,14469,10
14559,14469,3
14560,14469,12
14561,14469,8
14564,14469,31
14568,14469,7
14572,14469,10
14580,14469,12
14585,14469,4
14586,14469,1
14589,14469,5
14590,14469,1
14605,14469,1
14606,14469,6
14608,14469,3
14609,14469,5
14610,14469,3
14611,14469,1
14612,14469,3
14613,14469,2
14615,14469,4
14616,14469,2
14617,14469,7
14618,14469,3
14619,14469,4
14621,14469,1
14622,14469,5
14623,14469,8
14624,14469,7
14625,14469,2
14626,14469,4
14837,14469,1
13143,14513,36
13146,14513,58
13156,14513,3
14058,14513,1
14103,14513,2
14125,14513,1
14411,14513,4
14414,14513,2
14416,14513,2
14418,14513,1
14420,14513,9
14424,14513,128
14425,14513,92
14428,14513,5
14432,14513,98
14433,14513,112
14435,14513,1
14437,14513,5
14441,14513,1
14445,14513,8
14450,14513,38
14454,14513,10
14456,14513,123
14464,14513,5
14466,14513,1
14467,14513,7
14468,14513,6
14469,14513,13
14470,14513,2
14471,14513,2
14472,14513,8
14475,14513,1
14476,14513,1
14478,14513,1
14482,14513,4
14485,14513,1
14487,14513,3
14489,14513,334
14502,14513,70
14504,14513,16
14505,14513,140
14506,14513,3
14507,14513,1
14510,14513,1
14512,14513,5
14514,14513,6
14516,14513,38
14517,14513,2
14519,14513,62
14522,14513,229
14525,14513,1
14526,14513,12
14527,14513,5
14532,14513,84
14534,14513,27
14537,14513,1
14542,14513,3
14543,14513,3
14544,14513,6
14546,14513,2
14548,14513,49
14551,14513,144
14555,14513,12
14559,14513,7
14561,14513,19
14564,14513,45
14568,14513,80
14572,14513,1
14580,14513,36
14586,14513,10
14589,14513,122
14590,14513,86
14604,14513,1
14605,14513,5
14606,14513,27
14607,14513,9
14608,14513,14
14609,14513,31
14610,14513,11
14611,14513,26
14612,14513,27
14613,14513,12
14615,14513,11
14616,14513,17
14617,14513,15
14618,14513,17
14619,14513,11
14620,14513,9
14621,14513,16
14622,14513,12
14623,14513,21
14624,14513,14
14625,14513,9
14626,14513,17
14627,14513,4
14822,14513,1
14836,14513,1
14837,14513,4
14842,14513,1
14846,14513,1
13143,14564,1
13146,14564,9
13156,14564,4
14058,14564,3
14098,14564,4
14103,14564,23
14105,14564,2
14125,14564,10
14411,14564,27
14414,14564,53
14416,14564,13
14418,14564,6
14420,14564,60
14422,14564,2
14423,14564,44
14424,14564,467
14425,14564,445
14428,14564,35
14432,14564,81
14433,14564,13
14435,14564,27
14437,14564,29
14445,14564,122
14450,14564,780
14454,14564,36
14456,14564,76
14462,14564,2
14464,14564,23
14466,14564,19
14467,14564,115
14468,14564,87
14469,14564,200
14470,14564,21
14471,14564,34
14472,14564,156
14475,14564,6
14476,14564,7
14477,14564,1
14478,14564,1
14480,14564,7
14481,14564,6
14482,14564,18
14485,14564,50
14487,14564,49
14489,14564,31
14502,14564,242
14504,14564,31
14505,14564,61
14506,14564,29
14507,14564,10
14510,14564,16
14511,14564,9
14512,14564,71
14513,14564,89
14514,14564,44
14516,14564,9
14517,14564,8
14519,14564,91
14522,14564,171
14525,14564,3
14526,14564,208
14527,14564,28
14532,14564,40
14533,14564,4
14534,14564,400
14537,14564,6
14539,14564,1
14543,14564,43
14544,14564,19
14546,14564,41
14548,14564,90
14551,14564,15
14555,14564,4
14559,14564,109
14560,14564,28
14561,14564,28
14568,14564,77
14571,14564,2
14572,14564,22
14580,14564,409
14585,14564,2
14586,14564,115
14589,14564,68
14590,14564,14
14592,14564,1
14604,14564,11
14605,14564,39
14606,14564,124
14607,14564,188
14608,14564,59
14609,14564,286
14610,14564,126
14611,14564,56
14612,14564,168
14613,14564,64
14614,14564,2
14615,14564,79
14616,14564,139
14617,14564,173
14618,14564,167
14619,14564,81
14620,14564,169
14621,14564,101
14622,14564,115
14623,14564,188
14624,14564,230
14625,14564,107
14626,14564,160
14627,14564,1
14836,14564,1
14837,14564,13
14842,14564,2
14846,14564,3
13143,14608,4
13146,14608,3
14058,14608,4
14098,14608,4
14103,14608,4
14105,14608,2
14125,14608,4
14411,14608,21
14414,14608,20
14416,14608,14
14418,14608,1
14420,14608,66
14422,14608,13
14423,14608,17
14424,14608,64
14425,14608,38
14428,14608,35
14432,14608,6
14433,14608,7
14435,14608,8
14437,14608,14
14445,14608,45
14450,14608,186
14454,14608,16
14456,14608,18
14462,14608,1
14464,14608,25
14466,14608,7
14467,14608,54
14468,14608,88
14469,14608,15
14470,14608,29
14471,14608,12
14472,14608,43
14475,14608,1
14476,14608,5
14477,14608,2
14478,14608,1
14480,14608,3
14481,14608,1
14482,14608,22
14485,14608,12
14487,14608,19
14489,14608,5
14502,14608,39
14504,14608,3
14505,14608,22
14506,14608,3
14507,14608,1
14510,14608,6
14511,14608,2
14512,14608,8
14513,14608,27
14514,14608,34
14516,14608,4
14517,14608,1
14519,14608,29
14522,14608,15
14525,14608,4
14526,14608,116
14527,14608,8
14532,14608,6
14533,14608,4
14534,14608,110
14537,14608,1
14539,14608,1
14543,14608,13
14546,14608,20
14548,14608,18
14551,14608,11
14555,14608,2
14559,14608,94
14560,14608,8
14561,14608,1
14564,14608,52
14568,14608,19
14571,14608,2
14572,14608,4
14580,14608,259
14586,14608,48
14589,14608,17
14590,14608,6
14592,14608,1
14604,14608,13
14605,14608,88
14606,14608,198
14607,14608,90
14609,14608,236
14610,14608,81
14611,14608,116
14612,14608,176
14613,14608,113
14614,14608,8
14615,14608,126
14616,14608,197
14617,14608,136
14618,14608,90
14619,14608,94
14620,14608,134
14621,14608,194
14622,14608,80
14623,14608,79
14624,14608,236
14625,14608,58
14626,14608,200
14627,14608,1
14836,14608,1
14846,14608,2
13143,14614,3
13146,14614,5
14058,14614,3
14098,14614,4
14103,14614,6
14105,14614,1
14125,14614,2
14411,14614,15
14414,14614,30
14416,14614,14
14418,14614,1
14420,14614,74
14422,14614,3
14423,14614,25
14424,14614,68
14425,14614,66
14428,14614,47
14432,14614,10
14433,14614,8
14435,14614,11
14437,14614,24
14441,14614,1
14445,14614,48
14450,14614,349
14454,14614,19
14456,14614,12
14462,14614,3
14464,14614,34
14466,14614,9
14467,14614,47
14468,14614,116
14469,14614,18
14470,14614,20
14471,14614,6
14472,14614,51
14476,14614,5
14477,14614,4
14478,14614,2
14479,14614,1
14480,14614,2
14481,14614,2
14482,14614,17
14485,14614,17
14487,14614,27
14489,14614,14
14502,14614,81
14504,14614,6
14505,14614,16
14506,14614,10
14510,14614,9
14511,14614,1
14512,14614,11
14513,14614,27
14514,14614,43
14516,14614,1
14517,14614,1
14519,14614,90
14522,14614,38
14525,14614,6
14526,14614,167
14527,14614,8
14532,14614,13
14533,14614,2
14534,14614,237
14543,14614,18
14544,14614,1
14546,14614,28
14548,14614,8
14551,14614,13
14555,14614,2
14559,14614,123
14560,14614,5
14561,14614,2
14564,14614,102
14568,14614,33
14571,14614,4
14572,14614,6
