source,target,proximity
14035,14094,1
14043,14094,74
14047,14094,13
14051,14094,192
14052,14094,35
14055,14094,1
14057,14094,13
14059,14094,23
14067,14094,359
14068,14094,46
14069,14094,2
14070,14094,6
14072,14094,122
14075,14094,83
14080,14094,9
14081,14094,5
14085,14094,16
14086,14094,161
14091,14094,1
14092,14094,120
14102,14094,3
14105,14094,308
14108,14094,475
14109,14094,11
14111,14094,4
14120,14094,681
14126,14094,60
14127,14094,44
14131,14094,152
14132,14094,185
14139,14094,6
14141,14094,11
14150,14094,289
14170,14094,5
14172,14094,151
14174,14094,94
14201,14094,20
14202,14094,4
14203,14094,4
14204,14094,14
14206,14094,47
14207,14094,48
14208,14094,16
14209,14094,17
14210,14094,30
14211,14094,35
14212,14094,19
14213,14094,45
14214,14094,33
14215,14094,77
14216,14094,35
14217,14094,125
14218,14094,35
14219,14094,23
14220,14094,56
14221,14094,299
14222,14094,26
14223,14094,98
14224,14094,94
14225,14094,96
14226,14094,149
14227,14094,71
14228,14094,138
14261,14094,10
14301,14094,94
14303,14094,56
14304,14094,350
14305,14094,130
14001,14150,119
14004,14150,103
14006,14150,84
14008,14150,15
14012,14150,22
14013,14150,4
14025,14150,30
14026,14150,6
14028,14150,21
14030,14150,15
14031,14150,132
14032,14150,150
14033,14150,32
14034,14150,13
14035,14150,2
14037,14150,2
14043,14150,357
14047,14150,72
14051,14150,324
14052,14150,131
14055,14150,5
14057,14150,81
14059,14150,86
14061,14150,2
14067,14150,72
14068,14150,91
14069,14150,9
14070,14150,16
14072,14150,670
14075,14150,402
14080,14150,29
14081,14150,7
14085,14150,79
14086,14150,422
14091,14150,7
14092,14150,193
14094,14150,900
14102,14150,13
14105,14150,42
14108,14150,86
14109,14150,18
14111,14150,22
14120,14150,1674
14126,14150,10
14127,14150,263
14131,14150,98
14132,14150,142
14139,14150,22
14141,14150,46
14145,14150,2
14169,14150,1
14170,14150,19
14172,14150,52
14174,14150,105
14201,14150,86
14202,14150,33
14203,14150,18
14204,14150,86
14206,14150,265
14207,14150,447
14208,14150,76
14209,14150,71
14210,14150,160
14211,14150,178
14212,14150,101
14213,14150,221
14214,14150,187
14215,14150,396
14216,14150,351
14217,14150,731
14218,14150,196
14219,14150,98
14220,14150,235
14221,14150,745
14222,14150,146
14223,14150,788
14224,14150,455
14225,14150,619
14226,14150,473
14227,14150,305
14228,14150,420
14261,14150,3
14301,14150,143
14302,14150,1
14303,14150,58
14304,14150,668
14305,14150,187
14001,14202,56
14004,14202,80
14006,14202,88
14008,14202,7
14012,14202,7
14013,14202,3
14025,14202,32
14026,14202,15
14028,14202,4
14030,14202,8
14031,14202,110
14032,14202,75
14033,14202,30
14034,14202,10
14043,14202,327
14047,14202,77
14051,14202,289
14052,14202,193
14055,14202,9
14057,14202,86
14059,14202,102
14067,14202,9
14068,14202,103
14069,14202,5
14070,14202,7
14072,14202,245
14075,14202,596
14080,14202,40
14081,14202,9
14085,14202,115
14086,14202,478
14091,14202,5
14092,14202,77
14094,14202,305
14102,14202,23
14105,14202,13
14108,14202,18
14109,14202,8
14111,14202,26
14120,14202,267
14126,14202,1
14127,14202,475
14131,14202,22
14132,14202,32
14139,14202,23
14141,14202,27
14145,14202,3
14150,14202,558
14169,14202,1
14170,14202,25
14172,14202,9
14174,14202,37
14201,14202,348
14203,14202,52
14204,14202,141
14206,14202,239
14207,14202,264
14208,14202,141
14209,14202,175
14210,14202,156
14211,14202,216
14212,14202,120
14213,14202,429
14214,14202,321
14215,14202,478
14216,14202,455
14217,14202,469
14218,14202,189
14219,14202,122
14220,14202,389
14221,14202,726
14222,14202,357
14223,14202,395
14224,14202,674
14225,14202,521
14226,14202,472
14227,14202,338
14228,14202,238
14261,14202,1
14301,14202,81
14303,14202,39
14304,14202,168
14305,14202,98
14001,14203,59
14004,14203,103
14006,14203,121
14008,14203,8
14012,14203,8
14013,14203,3
14025,14203,43
14026,14203,14
14028,14203,8
14030,14203,12
14031,14203,114
14032,14203,112
14033,14203,32
14034,14203,10
14035,14203,1
14037,14203,2
14043,14203,321
14047,14203,109
14051,14203,319
14052,14203,244
14055,14203,8
14057,14203,103
14059,14203,118
14061,14203,3
14067,14203,21
14068,14203,108
14069,14203,7
14070,14203,10
14072,14203,302
14075,14203,763
14080,14203,46
14081,14203,9
14085,14203,167
14086,14203,528
14091,14203,10
14092,14203,84
14094,14203,321
14102,14203,10
14105,14203,10
14108,14203,23
14109,14203,9
14111,14203,27
14112,14203,4
14120,14203,315
14126,14203,2
14127,14203,525
14131,14203,28
14132,14203,41
14134,14203,1
14139,14203,20
14141,14203,39
14150,14203,648
14169,14203,1
14170,14203,33
14172,14203,15
14174,14203,33
14201,14203,234
14202,14203,158
14204,14203,189
14206,14203,256
14207,14203,270
14208,14203,174
14209,14203,190
14210,14203,205
14211,14203,325
14212,14203,128
14213,14203,396
14214,14203,326
14215,14203,608
14216,14203,474
14217,14203,431
14218,14203,228
14219,14203,180
14220,14203,407
14221,14203,845
14222,14203,297
14223,14203,416
14224,14203,697
14225,14203,480
14226,14203,528
14227,14203,340
14228,14203,258
14261,14203,1
14301,14203,74
14303,14203,35
14304,14203,220
14305,14203,108
14001,14210,36
14004,14210,52
14006,14210,39
14008,14210,3
14012,14210,4
14013,14210,2
14025,14210,11
14026,14210,5
14028,14210,8
14030,14210,6
14031,14210,32
14032,14210,27
14033,14210,7
14034,14210,2
14037,14210,4
14043,14210,165
14047,14210,25
14051,14210,78
14052,14210,90
14055,14210,3
14057,14210,63
14059,14210,51
14061,14210,1
14067,14210,6
14068,14210,33
14069,14210,3
14070,14210,9
14072,14210,116
14075,14210,306
14080,14210,20
14081,14210,8
14085,14210,53
14086,14210,196
14091,14210,7
14092,14210,25
14094,14210,127
14102,14210,7
14105,14210,12
14108,14210,11
14109,14210,1
14111,14210,14
14120,14210,112
14126,14210,2
14127,14210,230
14131,14210,8
14132,14210,14
14139,14210,9
14141,14210,24
14150,14210,184
14169,14210,1
14170,14210,14
14172,14210,6
14174,14210,9
14201,14210,79
14202,14210,28
14203,14210,12
14204,14210,67
14206,14210,166
14207,14210,125
14208,14210,40
14209,14210,52
14211,14210,84
14212,14210,51
14213,14210,128
14214,14210,91
14215,14210,221
14216,14210,176
14217,14210,149
14218,14210,138
14219,14210,85
14220,14210,267
14221,14210,279
14222,14210,83
14223,14210,113
14224,14210,360
14225,14210,252
14226,14210,154
14227,14210,159
14228,14210,77
14261,14210,1
14301,14210,23
14303,14210,8
14304,14210,62
14305,14210,32
14001,14221,373
14004,14221,380
14006,14221,165
14008,14221,21
14012,14221,32
14013,14221,25
14025,14221,59
14026,14221,56
14028,14221,15
14030,14221,30
14031,14221,696
14032,14221,501
14033,14221,38
14034,14221,26
14035,14221,2
14037,14221,16
14043,14221,1071
14047,14221,125
14051,14221,1351
14052,14221,439
14055,14221,15
14057,14221,147
14059,14221,274
14061,14221,4
14067,14221,117
14068,14221,448
14069,14221,9
14070,14221,32
14072,14221,597
14075,14221,922
14080,14221,86
14081,14221,15
14085,14221,171
14086,14221,1680
14091,14221,13
14092,14221,155
14094,14221,1532
14102,14221,45
14105,14221,74
14108,14221,98
14109,14221,16
14111,14221,50
14120,14221,1295
14126,14221,5
14127,14221,762
14131,14221,76
14132,14221,147
14139,14221,48
14141,14221,65
14145,14221,9
14150,14221,1678
14169,14221,1
14170,14221,57
14172,14221,41
14174,14221,78
14201,14221,184
14202,14221,117
14203,14221,37
14204,14221,124
14206,14221,450
14207,14221,428
14208,14221,174
14209,14221,186
14210,14221,287
14211,14221,468
14212,14221,208
14213,14221,362
14214,14221,479
14215,14221,959
14216,14221,719
14217,14221,872
14218,14221,364
14219,14221,301
14220,14221,461
14222,14221,330
14223,14221,955
14224,14221,1197
14225,14221,1765
14226,14221,1441
14227,14221,868
14228,14221,872
14261,14221,1
14301,14221,149
14302,14221,2
14303,14221,71
14304,14221,583
14305,14221,201
14001,14224,51
14004,14224,122
14006,14224,100
14008,14224,5
14012,14224,6
14013,14224,4
14025,14224,46
14026,14224,9
14028,14224,8
14030,14224,14
14031,14224,59
14032,14224,46
14033,14224,33
14034,14224,16
14037,14224,5
14043,14224,330
14047,14224,77
14051,14224,118
14052,14224,288
14055,14224,8
14057,14224,124
14059,14224,216
14067,14224,15
14068,14224,48
14069,14224,11
14070,14224,13
14072,14224,101
14075,14224,686
14080,14224,86
14081,14224,18
14085,14224,102
14086,14224,481
14091,14224,9
14092,14224,49
14094,14224,207
14102,14224,33
14105,14224,16
14108,14224,17
14109,14224,2
14111,14224,35
14112,14224,2
14120,14224,147
14126,14224,1
14127,14224,545
14131,14224,10
14132,14224,24
14134,14224,3
14139,14224,35
14141,14224,79
14145,14224,4
14150,14224,280
14170,14224,40
14172,14224,11
14174,14224,23
14201,14224,93
14202,14224,26
14203,14224,13
14204,14224,78
14206,14224,385
14207,14224,164
14208,14224,64
14209,14224,38
14210,14224,294
14211,14224,180
14212,14224,135
14213,14224,181
14214,14224,75
14215,14224,287
14216,14224,118
14217,14224,137
14218,14224,362
14219,14224,229
14220,14224,448
14221,14224,340
14222,14224,88
14223,14224,125
14225,14224,450
14226,14224,201
14227,14224,445
14228,14224,117
14261,14224,4
14301,14224,28
14303,14224,22
14304,14224,97
14305,14224,63
14001,14225,136
14004,14225,167
14006,14225,107
14008,14225,6
14012,14225,18
14013,14225,17
14025,14225,44
14026,14225,25
14028,14225,7
14030,14225,15
14031,14225,153
14032,14225,139
14033,14225,25
14034,14225,15
14035,14225,2
14037,14225,4
14043,14225,791
14047,14225,85
14051,14225,332
14052,14225,246
14055,14225,15
14057,14225,119
14059,14225,166
14061,14225,4
14067,14225,53
14068,14225,116
14069,14225,7
14070,14225,17
14072,14225,240
14075,14225,644
14080,14225,63
14081,14225,10
14085,14225,140
14086,14225,918
14091,14225,9
14092,14225,78
14094,14225,579
14102,14225,18
14105,14225,31
14108,14225,34
14109,14225,7
14111,14225,48
14112,14225,3
14120,14225,370
14126,14225,3
14127,14225,486
14131,14225,35
14132,14225,61
14134,14225,2
14139,14225,32
14141,14225,52
14145,14225,3
14150,14225,748
14169,14225,4
14170,14225,15
14172,14225,19
14174,14225,33
14201,14225,164
14202,14225,64
14203,14225,28
14204,14225,168
14206,14225,487
14207,14225,341
14208,14225,153
14209,14225,113
14210,14225,245
14211,14225,570
14212,14225,264
14213,14225,374
14214,14225,313
14215,14225,937
14216,14225,325
14217,14225,366
14218,14225,322
14219,14225,195
14220,14225,411
14221,14225,941
14222,14225,171
14223,14225,403
14224,14225,899
14226,14225,534
14227,14225,722
14228,14225,308
14261,14225,2
14301,14225,109
14303,14225,48
14304,14225,231
14305,14225,151
14001,14226,68
14004,14226,87
14006,14226,73
14008,14226,5
14012,14226,7
14013,14226,8
14025,14226,23
14026,14226,9
14028,14226,10
