beta,size,network,seed,realization,times
0.5,0.0,Albany,12084,9,"[56.8, 77.0, 89.4, 112.5, 132.9, 157.2, 188.9, 225.0, 293.6, 1413.7]"
0.5,0.0,Albany,12084,10,"[75.4, 92.1, 108.9, 131.0, 156.5, 189.4, 215.5, 248.4, 284.8, 3919.6]"
0.5,0.0,Albany,12084,11,"[54.6, 63.9, 80.8, 94.0, 108.1, 142.3, 183.1, 215.2, 341.2, 2360.1]"
0.5,0.0,Albany,12084,12,"[62.3, 76.9, 102.4, 121.7, 144.7, 173.7, 217.2, 253.2, 307.6, 1482.2]"
0.5,0.0,Albany,12084,13,"[82.4, 102.4, 113.4, 131.9, 153.1, 178.6, 213.9, 264.8, 336.1, 3174.9]"
0.5,0.0,Albany,12084,14,"[71.1, 82.3, 96.7, 121.3, 161.6, 194.0, 229.4, 286.4, 359.1, 722.5]"
0.5,0.0,Albany,12084,15,"[52.2, 66.5, 90.6, 109.3, 161.6, 196.5, 219.6, 250.1, 355.8, 1891.4]"
0.5,0.0,Albany,12084,16,"[39.2, 53.0, 61.8, 73.2, 105.8, 117.2, 143.1, 199.6, 262.9, 6521.9]"
0.5,0.0,Albany,12084,17,"[194.8, 229.2, 249.4, 266.2, 291.7, 315.8, 333.8, 365.1, 452.2, 5244.8]"
0.5,0.0,Albany,12084,18,"[112.7, 120.8, 137.1, 177.1, 209.5, 234.9, 256.9, 289.7, 380.0, 1632.5]"
0.5,0.0,Albany,12084,19,"[101.6, 110.7, 132.5, 160.8, 176.1, 194.5, 219.3, 258.3, 307.6, 2723.3]"
0.5,0.0,Albany,12084,20,"[59.5, 71.8, 85.3, 109.8, 131.8, 155.1, 176.5, 197.4, 238.7, 2472.1]"
0.5,0.0,Albany,12084,21,"[22.6, 38.8, 49.2, 66.5, 116.1, 140.3, 191.8, 230.3, 338.3, 3482.5]"
0.5,0.0,Albany,12084,22,"[116.4, 134.6, 154.2, 180.5, 204.6, 237.2, 272.3, 299.8, 382.8, 1086.8]"
0.5,0.0,Albany,12084,23,"[143.7, 157.7, 179.7, 210.4, 233.2, 269.2, 297.9, 344.3, 398.8, 3946.0]"
0.5,0.0,Albany,12084,24,"[43.5, 55.4, 67.8, 85.3, 111.6, 125.1, 142.8, 172.7, 230.3, 2015.0]"
0.5,0.0,Albany,12084,25,"[77.6, 87.1, 98.9, 115.9, 138.6, 186.1, 226.7, 262.0, 323.7, 1292.5]"
0.5,0.0,Albany,12084,26,"[64.1, 77.7, 86.3, 101.5, 111.7, 142.6, 163.8, 203.6, 233.5, 4089.5]"
0.5,0.0,Albany,12084,27,"[73.6, 83.7, 107.8, 116.4, 138.6, 149.1, 170.0, 210.7, 283.3, 2937.5]"
0.5,0.0,Albany,12084,28,"[82.1, 92.8, 101.6, 119.7, 152.7, 179.5, 199.2, 245.2, 383.5, 2782.9]"
0.5,0.0,Albany,12084,29,"[100.7, 113.7, 130.6, 148.0, 178.9, 202.4, 241.9, 270.3, 363.1, 4020.6]"
0.5,0.0,Albany,12010,0,"[20.4, 34.9, 49.1, 59.8, 81.9, 104.9, 163.4, 209.6, 299.5, 4912.1]"
