beta,size,network,seed,realization,times
0.5,0.30000000000000004,Albany,12121,13,"[39.1, 45.7, 47.6, 54.1, 60.0, 66.0, 80.2, 110.0, 142.6, 1815.8]"
0.5,0.30000000000000004,Albany,12121,14,"[86.8, 93.8, 97.7, 104.3, 111.5, 118.8, 127.7, 138.8, 188.7, 1268.8]"
0.5,0.30000000000000004,Albany,12121,15,"[78.5, 87.6, 91.5, 96.4, 102.0, 107.3, 125.5, 146.5, 179.5, 429.6]"
0.5,0.30000000000000004,Albany,12121,16,"[90.9, 99.2, 106.8, 113.0, 119.3, 128.4, 146.1, 162.8, 178.2, 1306.3]"
0.5,0.30000000000000004,Albany,12121,17,"[106.8, 111.3, 117.0, 125.2, 131.5, 138.4, 150.1, 166.5, 200.3, 709.7]"
0.5,0.30000000000000004,Albany,12121,18,"[29.1, 33.2, 38.3, 42.0, 49.4, 61.0, 84.5, 111.2, 142.4, 616.7]"
0.5,0.30000000000000004,Albany,12121,19,"[30.6, 36.1, 40.6, 46.5, 53.2, 60.6, 72.6, 92.2, 132.8, 2490.4]"
0.5,0.30000000000000004,Albany,12121,20,"[28.9, 32.2, 36.9, 43.3, 54.2, 63.3, 76.0, 93.7, 135.9, 534.5]"
0.5,0.30000000000000004,Albany,12121,21,"[10.9, 20.2, 24.9, 29.1, 35.8, 47.4, 56.3, 67.5, 128.8, 1613.8]"
0.5,0.30000000000000004,Albany,12121,22,"[29.3, 32.8, 37.8, 45.4, 60.4, 71.4, 87.0, 102.4, 139.2, 514.9]"
0.5,0.30000000000000004,Albany,12121,23,"[14.8, 23.9, 27.3, 33.2, 38.3, 48.7, 60.7, 76.6, 103.2, 815.7]"
0.5,0.30000000000000004,Albany,12121,24,"[46.7, 51.4, 56.4, 62.2, 68.8, 74.0, 83.2, 97.4, 136.2, 298.7]"
0.5,0.30000000000000004,Albany,12121,25,"[63.1, 68.4, 72.2, 78.0, 84.0, 88.0, 100.9, 111.3, 135.5, 316.5]"
0.5,0.30000000000000004,Albany,12121,26,"[63.4, 70.1, 72.6, 77.3, 85.2, 93.1, 110.0, 128.3, 157.2, 319.0]"
0.5,0.30000000000000004,Albany,12121,27,"[51.8, 57.1, 61.7, 67.0, 78.3, 84.5, 105.6, 122.3, 145.8, 1482.7]"
0.5,0.30000000000000004,Albany,12121,28,"[17.8, 24.0, 31.9, 37.9, 44.2, 57.0, 70.1, 99.1, 119.5, 398.5]"
0.5,0.30000000000000004,Albany,12121,29,"[62.3, 65.4, 70.2, 75.2, 84.8, 93.4, 108.7, 130.6, 183.5, 435.3]"
0.5,0.30000000000000004,Albany,12084,0,"[11.7, 15.8, 23.3, 29.1, 43.0, 54.5, 69.8, 82.9, 132.8, 653.6]"
0.5,0.30000000000000004,Albany,12084,1,"[27.3, 32.0, 37.2, 43.0, 46.9, 55.4, 71.5, 87.4, 123.9, 528.6]"
0.5,0.30000000000000004,Albany,12084,2,"[27.3, 34.7, 39.0, 45.7, 51.8, 63.8, 73.4, 87.3, 117.7, 1205.7]"
0.5,0.30000000000000004,Albany,12084,3,"[38.6, 47.5, 52.4, 57.5, 68.6, 74.8, 83.6, 108.1, 155.2, 1640.9]"
0.5,0.30000000000000004,Albany,12084,4,"[17.1, 24.5, 27.5, 39.7, 55.0, 70.2, 84.7, 96.7, 128.0, 335.3]"
0.5,0.30000000000000004,Albany,12084,5,"[35.5, 39.1, 42.4, 49.7, 61.4, 70.2, 81.3, 99.5, 130.4, 430.4]"
0.5,0.30000000000000004,Albany,12084,6,"[32.6, 37.8, 43.1, 49.5, 58.3, 67.8, 84.8, 97.1, 146.8, 870.3]"
0.5,0.30000000000000004,Albany,12084,7,"[35.2, 39.8, 44.3, 49.0, 53.1, 66.3, 77.4, 98.5, 131.0, 593.6]"
0.5,0.30000000000000004,Albany,12084,8,"[29.9, 34.2, 37.9, 47.1, 53.4, 62.6, 72.5, 87.9, 104.5, 332.3]"
0.5,0.30000000000000004,Albany,12084,9,"[15.2, 21.7, 30.7, 39.9, 49.2, 66.8, 79.5, 95.9, 154.1, 588.5]"
0.5,0.30000000000000004,Albany,12084,10,"[16.0, 22.3, 29.0, 36.3, 45.9, 62.3, 70.7, 83.5, 109.2, 883.3]"
0.5,0.30000000000000004,Albany,12084,11,"[26.0, 33.2, 37.4, 44.3, 50.8, 58.3, 69.5, 85.1, 112.4, 476.4]"
0.5,0.30000000000000004,Albany,12084,12,"[43.0, 48.3, 54.1, 61.0, 65.3, 75.9, 87.9, 104.3, 134.1, 1710.3]"
0.5,0.30000000000000004,Albany,12084,13,"[24.8, 29.2, 33.4, 40.4, 47.5, 57.3, 69.0, 87.0, 118.0, 1043.0]"
0.5,0.30000000000000004,Albany,12084,14,"[13.1, 17.4, 24.2, 30.8, 38.8, 48.9, 65.0, 86.3, 124.9, 522.1]"
0.5,0.30000000000000004,Albany,12084,15,"[39.1, 43.5, 50.1, 57.7, 68.1, 81.4, 88.4, 120.4, 185.2, 1359.6]"
0.5,0.30000000000000004,Albany,12084,16,"[16.7, 21.9, 26.9, 30.5, 38.2, 50.9, 59.5, 82.8, 124.7, 615.6]"
0.5,0.30000000000000004,Albany,12084,17,"[16.3, 21.8, 29.0, 38.8, 46.3, 54.6, 67.1, 83.2, 112.9, 311.8]"
0.5,0.30000000000000004,Albany,12084,18,"[39.6, 45.3, 49.0, 52.6, 57.9, 67.5, 77.4, 93.3, 127.0, 360.2]"
0.5,0.30000000000000004,Albany,12084,19,"[54.7, 59.4, 64.8, 73.7, 85.0, 95.7, 107.0, 130.3, 173.7, 483.2]"
0.5,0.30000000000000004,Albany,12084,20,"[24.5, 29.6, 35.0, 42.2, 50.6, 60.8, 72.0, 79.7, 128.9, 1000.4]"
0.5,0.30000000000000004,Albany,12084,21,"[42.2, 49.2, 54.3, 59.8, 63.1, 68.8, 91.5, 115.9, 143.6, 367.2]"
0.5,0.30000000000000004,Albany,12084,22,"[16.5, 22.2, 27.9, 32.2, 41.7, 51.3, 69.0, 90.7, 128.9, 526.5]"
0.5,0.30000000000000004,Albany,12084,23,"[84.2, 92.9, 98.7, 103.0, 111.3, 119.3, 130.6, 160.0, 216.9, 477.7]"
0.5,0.30000000000000004,Albany,12084,24,"[18.6, 22.5, 27.3, 30.5, 38.4, 52.2, 66.3, 73.6, 139.7, 3740.6]"
0.5,0.30000000000000004,Albany,12084,25,"[21.7, 28.4, 32.3, 36.9, 47.5, 55.1, 65.6, 78.8, 105.4, 425.5]"
0.5,0.30000000000000004,Albany,12084,26,"[22.5, 29.5, 34.0, 37.2, 47.8, 59.4, 70.5, 92.3, 141.1, 1213.4]"
0.5,0.30000000000000004,Albany,12084,27,"[61.3, 67.3, 72.0, 76.4, 82.8, 91.0, 102.2, 120.3, 156.6, 596.9]"
0.5,0.30000000000000004,Albany,12084,28,"[35.8, 38.9, 43.5, 48.3, 54.5, 68.6, 75.7, 96.9, 130.8, 2368.1]"
0.5,0.30000000000000004,Albany,12084,29,"[27.3, 33.5, 38.9, 44.8, 49.2, 55.9, 68.5, 79.2, 100.6, 1025.0]"
0.5,0.30000000000000004,Albany,12010,0,"[47.6, 52.8, 57.1, 60.8, 66.5, 73.9, 83.1, 95.1, 127.2, 194.9]"
0.5,0.30000000000000004,Albany,12010,1,"[17.8, 23.7, 28.5, 35.4, 40.4, 48.8, 69.0, 84.2, 143.8, 859.8]"
0.5,0.30000000000000004,Albany,12010,2,"[29.2, 36.0, 41.5, 43.5, 49.7, 61.4, 80.1, 101.2, 138.5, 1255.0]"
0.5,0.30000000000000004,Albany,12010,3,"[12.6, 18.0, 24.3, 31.3, 43.4, 49.3, 58.8, 79.9, 103.3, 296.8]"
0.5,0.30000000000000004,Albany,12010,4,"[15.3, 21.1, 24.7, 29.2, 34.3, 42.1, 49.7, 61.7, 96.0, 434.5]"
0.5,0.30000000000000004,Albany,12010,5,"[16.4, 20.9, 25.4, 30.3, 36.1, 44.5, 54.9, 67.0, 100.0, 593.7]"
0.5,0.30000000000000004,Albany,12010,6,"[30.7, 34.9, 41.9, 45.4, 53.2, 60.6, 71.2, 99.0, 145.9, 526.1]"
0.5,0.30000000000000004,Albany,12010,7,"[11.6, 17.0, 23.4, 28.4, 34.4, 40.8, 54.5, 71.6, 134.9, 581.3]"
0.5,0.30000000000000004,Albany,12010,8,"[27.4, 33.9, 42.1, 50.7, 59.6, 68.9, 82.0, 95.2, 135.8, 395.0]"
0.5,0.30000000000000004,Albany,12010,9,"[10.1, 16.2, 19.9, 26.1, 37.0, 51.1, 62.9, 81.1, 111.6, 590.2]"
0.5,0.30000000000000004,Albany,12010,10,"[13.9, 19.9, 25.0, 29.3, 34.0, 42.6, 48.8, 61.7, 101.0, 1789.4]"
0.5,0.30000000000000004,Albany,12010,11,"[21.7, 26.8, 30.8, 38.1, 42.6, 51.6, 60.5, 74.8, 115.2, 369.5]"
0.5,0.30000000000000004,Albany,12010,12,"[12.3, 18.1, 22.1, 28.6, 35.4, 48.8, 60.0, 72.7, 96.9, 353.1]"
0.5,0.30000000000000004,Albany,12010,13,"[18.2, 25.3, 29.3, 43.6, 51.0, 61.2, 71.3, 82.9, 112.5, 1000.0]"
0.5,0.30000000000000004,Albany,12010,14,"[22.6, 27.2, 31.5, 37.4, 45.7, 50.8, 57.5, 73.4, 112.1, 396.0]"
0.5,0.30000000000000004,Albany,12010,15,"[25.8, 31.8, 35.3, 40.4, 46.2, 52.8, 62.8, 80.4, 131.1, 296.2]"
0.5,0.30000000000000004,Albany,12010,16,"[12.7, 18.7, 26.6, 33.2, 41.7, 50.3, 65.9, 86.4, 120.7, 759.0]"
0.5,0.30000000000000004,Albany,12010,17,"[17.5, 23.6, 28.9, 35.0, 42.8, 54.3, 68.6, 98.2, 119.5, 1744.2]"
0.5,0.30000000000000004,Albany,12010,18,"[12.9, 19.8, 23.6, 26.7, 34.3, 46.0, 53.9, 64.0, 95.3, 438.1]"
0.5,0.30000000000000004,Albany,12010,19,"[17.9, 21.3, 27.6, 33.7, 41.5, 52.1, 64.4, 78.5, 106.5, 458.5]"
0.5,0.30000000000000004,Albany,12010,20,"[18.3, 27.0, 30.2, 34.9, 40.0, 49.8, 62.2, 80.9, 137.7, 535.1]"
0.5,0.30000000000000004,Albany,12010,21,"[11.6, 15.8, 20.7, 28.3, 34.1, 45.7, 55.6, 66.3, 99.0, 326.6]"
0.5,0.30000000000000004,Albany,12010,22,"[13.9, 17.9, 22.7, 29.2, 39.5, 49.0, 63.0, 90.4, 119.0, 397.4]"
0.5,0.30000000000000004,Albany,12010,23,"[12.6, 15.2, 18.7, 24.3, 31.3, 39.7, 49.6, 73.3, 111.1, 1194.4]"
0.5,0.30000000000000004,Albany,12010,24,"[25.4, 31.0, 34.5, 40.3, 44.0, 48.4, 56.9, 71.4, 94.7, 533.0]"
0.5,0.30000000000000004,Albany,12010,25,"[18.1, 24.1, 28.1, 32.7, 36.7, 44.3, 59.3, 68.6, 90.1, 550.4]"
0.5,0.30000000000000004,Albany,12010,26,"[14.6, 21.1, 26.2, 29.3, 34.1, 45.0, 52.5, 70.7, 118.0, 775.8]"
0.5,0.30000000000000004,Albany,12010,27,"[17.8, 23.8, 29.1, 32.9, 42.0, 52.4, 66.3, 79.0, 105.7, 358.5]"
0.5,0.30000000000000004,Albany,12010,28,"[33.1, 38.7, 43.4, 47.6, 55.2, 62.5, 70.6, 86.3, 124.5, 382.9]"
0.5,0.30000000000000004,Albany,12010,29,"[17.3, 22.2, 28.0, 31.5, 39.2, 49.9, 56.2, 81.7, 116.3, 565.4]"
0.5,0.30000000000000004,Albany,12059,0,"[13.3, 16.6, 23.8, 33.7, 43.0, 48.0, 53.5, 77.2, 112.6, 529.9]"
0.5,0.30000000000000004,Albany,12059,1,"[35.1, 41.3, 45.8, 53.0, 62.3, 68.8, 91.0, 118.0, 163.2, 719.4]"
0.5,0.30000000000000004,Albany,12059,2,"[39.2, 50.6, 56.0, 59.3, 63.8, 73.8, 84.8, 100.9, 124.4, 1855.0]"
0.5,0.30000000000000004,Albany,12059,3,"[26.6, 31.9, 37.7, 48.0, 53.9, 63.0, 80.8, 99.9, 138.5, 837.0]"
0.5,0.30000000000000004,Albany,12059,4,"[63.4, 72.0, 76.1, 80.5, 85.4, 94.7, 108.9, 120.3, 154.7, 445.0]"
0.5,0.30000000000000004,Albany,12059,5,"[18.0, 23.4, 27.0, 30.1, 36.7, 41.0, 64.4, 87.1, 135.2, 530.6]"
0.5,0.30000000000000004,Albany,12059,6,"[44.9, 62.3, 67.0, 70.8, 73.3, 82.5, 92.0, 105.0, 129.9, 882.2]"
0.5,0.30000000000000004,Albany,12059,7,"[77.4, 92.3, 96.7, 98.8, 107.3, 114.0, 121.6, 151.5, 200.5, 427.7]"
0.5,0.30000000000000004,Albany,12059,8,"[42.1, 46.7, 51.6, 55.5, 63.6, 74.0, 86.3, 112.0, 141.9, 300.4]"
0.5,0.30000000000000004,Albany,12059,9,"[51.3, 57.5, 62.5, 66.4, 72.9, 87.0, 103.8, 121.5, 140.5, 946.4]"
0.5,0.30000000000000004,Albany,12059,10,"[113.5, 124.4, 130.2, 134.3, 136.9, 144.7, 157.4, 176.9, 198.8, 532.8]"
0.5,0.30000000000000004,Albany,12059,11,"[44.4, 49.6, 53.1, 56.3, 60.3, 66.4, 77.2, 104.2, 177.7, 546.7]"
0.5,0.30000000000000004,Albany,12059,12,"[87.4, 91.9, 96.9, 103.8, 111.7, 120.7, 130.0, 147.7, 190.5, 745.2]"
0.5,0.30000000000000004,Albany,12059,13,"[100.1, 107.1, 109.9, 114.4, 119.3, 128.2, 135.3, 156.5, 195.0, 840.0]"
0.5,0.30000000000000004,Albany,12059,14,"[27.3, 34.1, 41.4, 47.7, 55.2, 61.3, 75.3, 96.1, 122.8, 337.1]"
0.5,0.30000000000000004,Albany,12059,15,"[30.3, 38.0, 42.5, 49.9, 57.2, 68.0, 75.6, 89.2, 130.9, 780.8]"
0.5,0.30000000000000004,Albany,12059,16,"[64.1, 72.6, 76.3, 79.3, 82.5, 89.7, 100.6, 114.7, 148.6, 442.4]"
0.5,0.30000000000000004,Albany,12059,17,"[77.0, 89.5, 96.4, 101.0, 107.2, 115.4, 125.2, 153.0, 170.9, 1763.4]"
0.5,0.30000000000000004,Albany,12059,18,"[123.2, 128.0, 134.7, 139.3, 149.0, 155.4, 169.9, 184.3, 210.8, 510.6]"
0.5,0.30000000000000004,Albany,12059,19,"[54.6, 62.5, 65.2, 69.7, 73.9, 84.6, 94.0, 105.4, 145.7, 954.6]"
0.5,0.30000000000000004,Albany,12059,20,"[21.1, 26.4, 34.3, 45.2, 52.0, 59.1, 70.4, 89.2, 116.5, 541.6]"
0.5,0.30000000000000004,Albany,12059,21,"[74.2, 81.8, 86.9, 95.5, 101.4, 108.8, 117.5, 139.5, 201.9, 869.1]"
0.5,0.30000000000000004,Albany,12059,22,"[31.1, 38.6, 43.0, 47.6, 54.5, 65.8, 78.0, 96.9, 133.8, 505.1]"
0.5,0.30000000000000004,Albany,12059,23,"[48.1, 52.8, 58.4, 69.4, 74.1, 81.7, 94.0, 111.7, 141.1, 363.0]"
0.5,0.30000000000000004,Albany,12059,24,"[71.2, 78.0, 82.7, 86.5, 92.2, 100.5, 109.2, 136.0, 176.7, 627.3]"
0.5,0.30000000000000004,Albany,12059,25,"[16.5, 32.5, 38.3, 41.2, 46.7, 57.4, 73.1, 89.0, 118.0, 1908.2]"
0.5,0.30000000000000004,Albany,12059,26,"[41.7, 46.8, 51.5, 60.2, 64.1, 73.5, 81.7, 91.7, 124.9, 370.2]"
0.5,0.30000000000000004,Albany,12059,27,"[95.1, 100.4, 104.3, 107.9, 117.8, 129.0, 141.2, 161.0, 193.8, 664.6]"
0.5,0.30000000000000004,Albany,12059,28,"[40.4, 45.4, 53.8, 60.6, 66.0, 72.3, 84.6, 98.1, 122.5, 518.1]"
0.5,0.30000000000000004,Albany,12059,29,"[30.7, 36.1, 40.5, 47.7, 53.3, 59.2, 72.0, 93.4, 118.6, 382.8]"
0.5,0.30000000000000004,Albany,12822,0,"[79.3, 84.0, 88.1, 93.8, 104.7, 118.4, 135.7, 150.6, 188.1, 521.9]"
0.5,0.30000000000000004,Albany,12822,1,"[32.6, 38.1, 44.3, 53.0, 60.6, 72.7, 89.7, 102.1, 122.9, 331.4]"
0.5,0.30000000000000004,Albany,12822,2,"[25.9, 29.8, 37.0, 45.4, 58.4, 72.3, 82.2, 103.7, 137.4, 429.4]"
0.5,0.30000000000000004,Albany,12822,3,"[41.6, 47.7, 54.3, 59.6, 69.6, 83.3, 99.5, 122.6, 161.9, 771.3]"
0.5,0.30000000000000004,Albany,12822,4,"[58.9, 64.1, 69.6, 76.5, 88.2, 93.6, 109.6, 119.2, 152.0, 522.3]"
0.5,0.30000000000000004,Albany,12822,5,"[27.7, 34.1, 40.5, 45.5, 52.8, 65.4, 75.5, 87.4, 111.5, 452.3]"
0.5,0.30000000000000004,Albany,12822,6,"[19.4, 22.2, 26.4, 31.8, 37.7, 47.0, 54.6, 66.5, 104.6, 422.3]"
0.5,0.30000000000000004,Albany,12822,7,"[26.3, 33.5, 41.4, 47.4, 56.5, 63.7, 84.3, 103.7, 140.5, 450.8]"
0.5,0.30000000000000004,Albany,12822,8,"[104.6, 113.7, 115.7, 122.3, 129.4, 141.6, 155.8, 173.3, 196.5, 606.4]"
0.5,0.30000000000000004,Albany,12822,9,"[33.9, 37.4, 43.9, 50.3, 60.9, 73.2, 82.7, 101.5, 129.5, 847.1]"
0.5,0.30000000000000004,Albany,12822,10,"[77.7, 88.6, 94.5, 101.0, 105.7, 114.0, 134.2, 147.2, 208.6, 605.3]"
0.5,0.30000000000000004,Albany,12822,11,"[85.2, 89.4, 96.4, 104.1, 115.2, 122.5, 137.7, 160.0, 182.5, 954.6]"
0.5,0.30000000000000004,Albany,12822,12,"[22.1, 29.4, 34.6, 40.6, 47.8, 58.9, 72.9, 84.7, 133.9, 549.5]"
0.5,0.30000000000000004,Albany,12822,13,"[55.2, 61.0, 68.0, 73.1, 82.2, 94.0, 105.0, 122.4, 181.4, 1185.2]"
0.5,0.30000000000000004,Albany,12822,14,"[48.7, 54.1, 59.4, 67.5, 78.9, 92.9, 109.8, 123.6, 152.9, 645.6]"
0.5,0.30000000000000004,Albany,12822,15,"[56.1, 63.3, 67.0, 71.3, 78.4, 87.6, 97.5, 117.7, 149.9, 646.7]"
0.5,0.30000000000000004,Albany,12822,16,"[34.9, 41.6, 45.6, 53.0, 64.7, 70.9, 81.8, 100.8, 133.0, 541.6]"
0.5,0.30000000000000004,Albany,12822,17,"[90.9, 98.3, 105.7, 110.8, 117.0, 124.8, 137.3, 156.8, 194.2, 349.5]"
0.5,0.30000000000000004,Albany,12822,18,"[70.4, 75.0, 80.0, 88.8, 98.9, 114.5, 144.9, 154.5, 188.8, 731.5]"
0.5,0.30000000000000004,Albany,12822,19,"[40.6, 46.6, 50.2, 61.3, 70.3, 81.4, 93.4, 109.3, 156.0, 1182.8]"
0.5,0.30000000000000004,Albany,12822,20,"[21.2, 26.4, 30.6, 37.0, 44.0, 51.6, 64.6, 82.5, 135.6, 635.6]"
0.5,0.30000000000000004,Albany,12822,21,"[81.4, 85.2, 88.9, 95.2, 104.5, 113.4, 123.8, 135.1, 162.2, 414.3]"
0.5,0.30000000000000004,Albany,12822,22,"[23.3, 30.1, 32.8, 39.4, 46.3, 55.9, 69.7, 87.2, 117.9, 443.2]"
0.5,0.30000000000000004,Albany,12822,23,"[35.5, 43.2, 48.2, 56.0, 68.1, 76.6, 91.4, 108.8, 161.4, 586.4]"
0.5,0.30000000000000004,Albany,12822,24,"[32.6, 37.7, 42.5, 48.0, 54.7, 65.8, 77.7, 94.7, 129.2, 398.4]"
0.5,0.30000000000000004,Albany,12822,25,"[36.6, 43.2, 49.7, 55.2, 67.6, 78.3, 87.2, 97.9, 119.9, 1139.6]"
0.5,0.30000000000000004,Albany,12822,26,"[19.5, 26.1, 33.2, 39.7, 49.9, 64.3, 78.6, 95.1, 134.9, 901.0]"
0.5,0.30000000000000004,Albany,12822,27,"[13.9, 21.8, 29.6, 37.0, 47.7, 59.2, 74.5, 92.1, 130.1, 509.1]"
0.5,0.30000000000000004,Albany,12822,28,"[20.8, 28.9, 33.5, 38.6, 45.0, 51.0, 60.4, 77.6, 107.8, 570.0]"
0.5,0.30000000000000004,Albany,12822,29,"[27.1, 34.7, 40.1, 45.8, 56.0, 72.7, 98.0, 109.3, 125.2, 641.4]"
0.5,0.30000000000000004,Albany,12193,0,"[9.0, 15.2, 21.3, 31.3, 38.9, 47.0, 52.6, 83.4, 110.8, 764.2]"
0.5,0.30000000000000004,Albany,12193,1,"[16.6, 22.1, 29.4, 34.0, 39.2, 49.2, 56.1, 84.1, 115.7, 185.5]"
0.5,0.30000000000000004,Albany,12193,2,"[45.7, 50.1, 53.7, 57.3, 65.6, 76.6, 97.0, 128.2, 140.7, 464.3]"
0.5,0.30000000000000004,Albany,12193,3,"[34.6, 43.2, 48.8, 54.0, 61.5, 67.1, 85.1, 93.9, 115.7, 819.9]"
0.5,0.30000000000000004,Albany,12193,4,"[24.0, 31.5, 37.1, 39.7, 46.0, 53.8, 60.9, 79.0, 122.4, 362.6]"
0.5,0.30000000000000004,Albany,12193,5,"[19.4, 27.6, 33.1, 40.1, 44.7, 50.9, 58.3, 74.3, 94.3, 505.5]"
0.5,0.30000000000000004,Albany,12193,6,"[84.0, 91.1, 96.1, 102.4, 113.1, 120.9, 133.9, 153.0, 192.0, 625.4]"
0.5,0.30000000000000004,Albany,12193,7,"[98.3, 107.6, 117.2, 127.2, 131.4, 137.7, 153.9, 175.3, 203.0, 530.8]"
0.5,0.30000000000000004,Albany,12193,8,"[35.7, 39.8, 46.3, 51.1, 58.4, 73.9, 86.6, 98.5, 131.1, 366.4]"
0.5,0.30000000000000004,Albany,12193,9,"[22.7, 27.0, 32.7, 40.5, 46.2, 54.2, 67.4, 82.3, 114.0, 1088.5]"
0.5,0.30000000000000004,Albany,12193,10,"[35.2, 39.5, 44.7, 50.6, 54.8, 60.9, 73.3, 83.6, 118.9, 262.9]"
0.5,0.30000000000000004,Albany,12193,11,"[30.3, 39.3, 44.7, 51.5, 57.6, 62.2, 73.0, 91.5, 122.4, 807.3]"
0.5,0.30000000000000004,Albany,12193,12,"[56.4, 62.9, 64.9, 69.6, 76.0, 84.0, 96.7, 113.2, 168.8, 317.1]"
0.5,0.30000000000000004,Albany,12193,13,"[20.4, 24.8, 30.2, 36.7, 45.3, 51.3, 63.8, 80.3, 120.9, 746.0]"
0.5,0.30000000000000004,Albany,12193,14,"[13.7, 20.0, 25.4, 31.2, 38.9, 48.5, 59.3, 73.4, 97.6, 333.2]"
0.5,0.30000000000000004,Albany,12193,15,"[45.5, 50.7, 56.5, 60.1, 66.6, 74.4, 84.1, 98.3, 128.1, 422.4]"
0.5,0.30000000000000004,Albany,12193,16,"[80.7, 87.5, 92.5, 97.7, 104.0, 108.3, 117.6, 139.3, 165.2, 1245.7]"
0.5,0.30000000000000004,Albany,12193,17,"[41.7, 46.8, 53.0, 56.5, 63.7, 74.3, 82.7, 94.9, 138.2, 480.6]"
0.5,0.30000000000000004,Albany,12193,18,"[22.7, 27.1, 29.6, 33.9, 37.9, 45.1, 62.0, 78.3, 127.5, 884.1]"
0.5,0.30000000000000004,Albany,12193,19,"[31.5, 39.1, 41.7, 46.9, 51.0, 65.0, 75.9, 84.0, 100.3, 1063.5]"
0.5,0.30000000000000004,Albany,12193,20,"[34.2, 39.1, 44.2, 50.4, 56.6, 67.3, 75.4, 94.7, 118.7, 928.8]"
0.5,0.30000000000000004,Albany,12193,21,"[58.4, 70.9, 79.2, 81.5, 86.1, 92.5, 102.2, 117.5, 149.6, 367.2]"
0.5,0.30000000000000004,Albany,12193,22,"[45.8, 52.9, 57.4, 62.8, 65.3, 72.3, 84.1, 97.9, 129.1, 450.5]"
0.5,0.30000000000000004,Albany,12193,23,"[33.9, 39.9, 45.0, 47.4, 50.7, 56.6, 64.3, 90.6, 133.2, 1782.1]"
0.5,0.30000000000000004,Albany,12193,24,"[46.5, 65.0, 69.8, 74.6, 78.9, 87.5, 95.3, 106.4, 139.9, 394.4]"
0.5,0.30000000000000004,Albany,12193,25,"[61.6, 75.5, 80.8, 83.2, 90.1, 95.4, 102.6, 120.7, 146.8, 2523.1]"
0.5,0.30000000000000004,Albany,12193,26,"[27.8, 32.4, 36.7, 41.3, 47.9, 61.9, 73.0, 96.1, 151.5, 472.5]"
0.5,0.30000000000000004,Albany,12193,27,"[38.5, 41.1, 46.8, 54.3, 58.7, 63.3, 71.4, 88.5, 120.7, 284.6]"
0.5,0.30000000000000004,Albany,12193,28,"[39.9, 51.6, 69.1, 72.6, 78.3, 88.6, 94.2, 102.2, 146.2, 575.4]"
0.5,0.30000000000000004,Albany,12193,29,"[50.6, 61.2, 65.5, 71.5, 81.3, 89.8, 104.7, 112.2, 163.1, 1022.0]"
0.5,0.30000000000000004,Albany,12186,0,"[20.8, 26.0, 29.9, 34.0, 40.6, 50.1, 64.9, 82.1, 140.5, 2144.2]"
0.5,0.30000000000000004,Albany,12186,1,"[15.4, 22.0, 26.5, 31.9, 38.8, 51.5, 64.0, 80.6, 125.2, 542.0]"
0.5,0.30000000000000004,Albany,12186,2,"[20.0, 24.7, 30.0, 36.8, 45.2, 63.6, 71.3, 89.2, 130.9, 320.2]"
0.5,0.30000000000000004,Albany,12186,3,"[43.6, 50.1, 54.9, 60.2, 68.3, 75.7, 91.8, 110.9, 155.7, 643.4]"
0.5,0.30000000000000004,Albany,12186,4,"[26.2, 31.5, 35.8, 47.0, 62.5, 71.3, 82.4, 97.6, 113.5, 1080.1]"
0.5,0.30000000000000004,Albany,12186,5,"[22.0, 28.1, 30.8, 33.7, 39.0, 44.8, 53.0, 65.2, 91.1, 429.0]"
0.5,0.30000000000000004,Albany,12186,6,"[16.1, 21.9, 26.6, 37.2, 44.8, 54.9, 70.1, 87.6, 133.5, 505.7]"
0.5,0.30000000000000004,Albany,12186,7,"[19.9, 25.6, 32.4, 40.2, 51.2, 59.5, 68.3, 81.1, 110.8, 2217.3]"
0.5,0.30000000000000004,Albany,12186,8,"[13.7, 18.1, 23.0, 27.1, 33.5, 41.6, 53.7, 70.4, 97.4, 485.0]"
0.5,0.30000000000000004,Albany,12186,9,"[20.5, 28.8, 36.9, 42.7, 51.0, 62.5, 69.6, 86.9, 116.8, 440.8]"
0.5,0.30000000000000004,Albany,12186,10,"[19.3, 27.0, 31.6, 35.8, 43.6, 55.5, 68.3, 96.3, 123.0, 583.6]"
0.5,0.30000000000000004,Albany,12186,11,"[33.2, 37.4, 42.9, 48.6, 54.9, 61.0, 73.4, 90.5, 132.7, 486.6]"
0.5,0.30000000000000004,Albany,12186,12,"[35.0, 39.3, 45.3, 53.5, 68.0, 81.1, 93.3, 107.0, 133.1, 536.5]"
0.5,0.30000000000000004,Albany,12186,13,"[68.8, 73.4, 79.9, 84.0, 89.3, 100.4, 113.8, 130.7, 157.8, 325.6]"
0.5,0.30000000000000004,Albany,12186,14,"[16.2, 20.1, 24.0, 32.0, 42.5, 51.6, 69.4, 80.8, 99.8, 257.4]"
0.5,0.30000000000000004,Albany,12186,15,"[10.6, 17.2, 20.8, 30.1, 40.3, 47.1, 55.4, 74.9, 98.4, 1485.6]"
0.5,0.30000000000000004,Albany,12186,16,"[12.6, 21.1, 25.8, 31.4, 41.2, 51.2, 64.9, 78.2, 120.7, 434.6]"
0.5,0.30000000000000004,Albany,12186,17,"[24.0, 32.8, 37.2, 41.9, 47.6, 56.1, 67.0, 98.7, 139.1, 1558.5]"
