source,target,metric,proximity,s_value,distance,metric_distance
12007,12054,False,0.00016079755587715066,17.607411842418365,6218.0,353.14673477564105
12007,12203,False,5.6404760561791414e-05,43.986493171764984,17728.0,403.0328112489685
12007,12206,False,9.382623381497467e-05,25.69950410725129,10657.0,414.6772620796623
12007,12305,False,0.00010339123242349049,20.393228429111026,9671.0,474.226041924524
12007,12208,False,5.2194790959862204e-05,49.883035622535346,19158.0,384.05842308732934
12007,12309,False,6.811525100469996e-05,32.75242658525984,14680.0,448.2110649659987
12007,12304,False,9.532888465204957e-05,23.18563770312733,10489.0,452.3921288818043
12007,12202,False,0.00021088148460565162,10.878633245346835,4741.0,435.80842308732934
12007,12067,False,0.0011614401858304297,2.570455162996147,860.0,334.57109557109555
12007,12143,False,0.0026472534745201853,1.4179936305732486,376.75,265.6923076923077
12007,12023,False,0.001697792869269949,1.4598022386471645,588.0,402.7942857142858
12007,12045,True,0.004901960784313725,1.0,203.0,203.0
12007,12083,False,0.0013908205841446453,2.3965287049399198,718.0,299.6
12007,12087,True,0.004694835680751174,1.0,212.0,212.0
12007,12158,False,0.00042052144659377626,7.8227079026201425,2377.0,303.85897435897436
12007,12170,False,0.0005865102639296188,3.1405913331234747,1704.0,542.5729804537438
12054,12203,False,0.01735874744724302,1.13474233972923,56.6078431372549,49.88607647332746
12054,12206,False,0.013846246463187046,1.157502499182713,71.22173913043478,61.53052730402128
12054,12305,False,0.005453738347390449,1.5061241215399663,182.36046511627907,121.07930714888293
12054,12208,True,0.03133648054696402,1.0,30.911688311688312,30.911688311688312
12054,12309,False,0.0063669689369091256,1.6416315746201446,156.06060606060606,95.06433019035758
12054,12304,False,0.004458099885535273,2.2500874002468496,223.31081081081084,99.24539410616323
12054,12202,False,0.007376671277086215,1.6278702110778562,134.5625,82.66168831168831
12054,12067,True,0.007869509228788096,1.0,126.07272727272726,126.07272727272726
12054,12143,False,0.007328883653971993,1.548765832544586,135.44642857142856,87.45442708333334
12054,12023,False,0.0022199200828770162,1.6826836176848754,449.4666666666667,267.1129985119048
12054,12045,False,0.00109717868338558,6.0635922105731614,910.4285714285714,150.14673477564105
12054,12083,False,0.002906131938390003,2.093110628702933,343.09999999999997,163.91871279761907
12054,12087,False,0.0010956331194240101,5.3628855516061265,911.7142857142857,170.00442708333335
12054,12158,True,0.016987407935376574,1.0,57.86713286713287,57.86713286713287
12054,12170,False,0.0010152284263959391,5.19463391399383,984.0,189.42624567810282
12054,12077,True,0.026803476075803582,1.0,36.30859375,36.30859375
12054,12184,False,0.0021488047273704003,2.7191690857198196,464.375,170.77827283295642
12054,12205,False,0.014527546937519236,1.0454604497957087,67.83474576271186,64.88504254366323
12054,12207,True,0.019309108685025257,1.0,50.78902953586498,50.78902953586498
12054,12211,True,0.011896107329323904,1.0,83.06111111111112,83.06111111111112
12054,12302,False,0.003883598446560621,2.1398536220878728,256.4931506849315,119.86481132979041
12054,12866,False,0.003520406074747227,2.2782679908558543,283.0581395348837,124.24268816090861
12054,12010,False,0.002735229759299781,2.39449572004085,364.6,152.26588084850698
12054,12047,False,0.004957156008781248,1.974723438543215,200.7285714285714,101.64895372723791
12054,12065,False,0.005442376994925351,1.8892778849271923,182.74324324324326,96.72650312650312
12054,12093,False,0.00031318509238960227,10.695825247890793,3192.0,298.4341952136381
12054,12110,True,0.012364250073378338,1.0,79.87833827893175,79.87833827893175
12054,12151,False,0.0005923293351103214,5.463091838298717,1687.2499999999998,308.84525648491257
12054,12167,False,0.0003069367710251688,11.281088869309276,3257.0000000000005,288.71326498107993
12054,12180,False,0.009498564170532362,1.5106127848254398,104.27906976744185,69.03097260592291
12054,12196,False,0.0015333147477000278,3.4709130194730182,651.1818181818182,187.6111024760528
12054,12204,True,0.011638880150990877,1.0,84.91891891891892,84.91891891891892
12054,12209,False,0.007901029213015906,1.864619782649496,125.56578947368422,67.34122990761361
12054,12210,False,0.010842598548194431,1.2012159976435166,91.22881355932203,75.94705176944862
12054,12222,True,0.006220033691849165,1.0,159.77083333333331,159.77083333333331
12054,12303,False,0.004811873152066787,2.2129760538009946,206.81927710843374,93.45753052917232
12054,12308,False,0.004308404604205517,1.986627840412721,231.1044776119403,116.33003067344937
12054,12061,False,0.009136677232892038,1.0931402887215644,108.44897959183673,99.20865666626248
12054,12118,False,0.0022635814889336017,3.354009117159491,440.77777777777777,131.4181811619738
12054,12122,False,0.0007172572084349448,5.157908345977259,1393.2,270.1094913961743
12054,12144,False,0.013161960081567076,1.0192133132616163,74.97652582159624,73.56313427820278
12054,12182,False,0.0037120165745856354,3.010840238397796,268.3953488372093,89.14300580094366
12054,12306,False,0.003988737681839512,2.5561121626988315,249.7058823529412,97.68972034830158
12054,12159,True,0.020142054489557935,1.0,48.64736842105263,48.64736842105263
12054,12020,False,0.0038815026322833943,2.234591064209606,256.632183908046,114.8452564849126
12054,12138,False,0.001,3.926632451302028,999.0,254.41647834106365
12054,12831,False,0.0013453291852350122,5.5294249307810945,742.3125,134.24768566215798
12054,12009,False,0.005766510717005766,1.2693750583321917,172.41509433962264,135.82675443942915
12054,12019,False,0.0016006739679865207,4.411599866226118,623.7368421052631,141.38563356128574
12054,12085,False,0.0006162378678169774,5.393666041871217,1621.7499999999998,300.67675443942915
12054,12183,False,0.0017173699705593719,3.81756069018887,581.2857142857143,152.26626672356997
12054,12186,True,0.009080325960419092,1.0,109.12820512820514,109.12820512820514
12054,12189,False,0.005164818471821358,2.0309499418843617,192.61764705882354,94.8411593444339
